# Generated from Wikidata (CC0 structured data)
# Columns: qid	scriptWord	romanWord	tag	countryIso2
Q4117465	الحمرية	Al Hamriya	place	AE
Q289693	الشارقة	Sharjah	place	AE
Q4682440	العقة	Adgat	place	AE
Q234600	العين	Al Ain	place	AE
Q4703799	الفحلين	Al Fahlayn	place	AE
Q4117483	نايف	Naif	place	AE
Q4166621	سماهيج	Samaheej	place	BH
Q652161	آغلال	Aghlal	place	DZ
Q59975	بجاية	Béjaïa	place	DZ
Q3514776	تامدة	Tamda	place	DZ
Q852515	تقرت	Touggourt	place	DZ
Q3517130	عشابو	Achabou	place	DZ
Q131818	وهران	Oran	place	DZ
Q4165238	البدرشين	Badrashin	place	EG
Q4704678	الرحامنة	Al Rahamnah	place	EG
Q4118669	العسكر	Al-Askar	place	EG
Q3652733	الغنايم	El Ghanayem	place	EG
Q4119512	القطائع	Al-Qatta'i	place	EG
Q287779	اللشت	Lisht	place	EG
Q3494688	المنزلة	Manzala	place	EG
Q134509	بورسعيد	Port Said	place	EG
Q328153	دمنهور	Damanhur	place	EG
Q29019	دندرة	Dendera	place	EG
Q2392142	زفتى	Zefta	place	EG
Q388108	سوهاج	Sohag	place	EG
Q2233285	شنهور	Shanhur	place	EG
Q3757557	عمريط	Amrit	place	EG
Q4164829	قلين	Qallin	place	EG
Q336661	قنا	Qena	place	EG
Q3498842	مطاي	Matai	place	EG
Q200200	آشور	Assur	place	IQ
Q501259	إيسن	Isin	place	IQ
Q4164616	الصويرة	Al-Suwaira	place	IQ
Q2118592	العبيدي	Al Ubaidi	place	IQ
Q2353905	القائم	Al-Qa'im	place	IQ
Q2574863	القرنة	Al-Qurnah	place	IQ
Q186234	الكوفة	Kufa	place	IQ
Q2349664	النعمانية	An Numaniyah	place	IQ
Q4079428	باطنايا	Batnaya	place	IQ
Q2349675	بدرة	Badra	place	IQ
Q270821	بعقوبة	Baqubah	place	IQ
Q2231235	شقلاوة	Shaqlawa	place	IQ
Q2627750	عانة	Anah	place	IQ
Q421302	عقرة	Akre	place	IQ
Q4115974	كرمليس	Karamlish	place	IQ
Q2625872	كلار	Kalar	place	IQ
Q179843	مخمور	Makhmur	place	IQ
Q1382440	مندلي	Mandali	place	IQ
Q2422345	هيت	Hīt	place	IQ
Q4118341	الجميل	Al Jumayyil	place	JO
Q3696209	الحصن	Al Husn	place	JO
Q4802970	السامك	As Samik	place	JO
Q31565	جرش	Jerash	place	JO
Q4116012	المهبولة	Mahboula	place	KW
Q4807465	أصنون	Asnoun	place	LB
Q2826839	أغميد	Aghmeed	place	LB
Q2477243	الشويفات	Choueifat	place	LB
Q2964040	الشياح	Chyah	place	LB
Q3191610	القعقور	Kaakour	place	LB
Q3286586	المنصورية	Mansourieh	place	LB
Q1018799	بزمار	Bzoummar	place	LB
Q2893455	بشامون	Beshamoun	place	LB
Q2038347	بعبدات	Baabdat	place	LB
Q2401388	بلونة	Balluneh	place	LB
Q884046	بليدا	Blida	place	LB
Q3176352	جدايل	Jeddayel	place	LB
Q3068501	حدشيت	Hadchit	place	LB
Q25914	راشيا	Rashaya	place	LB
Q3418502	رملية	Ramlieh	place	LB
Q4024399	زبقين	Zibqin	place	LB
Q3574872	زرعون	Zaraaoun	place	LB
Q4661060	عابا	Aaba	place	LB
Q26338	عاليه	Aley	place	LB
Q4699286	عيتانيت	Aitanite	place	LB
Q753812	قانا	Qana	place	LB
Q3031599	كحالة	Kahale	place	LB
Q3194657	كفريا	Kefraya	place	LB
Q3307813	محيدثة	Mhaydseh	place	LB
Q430734	مزهر	Mezher	place	LB
Q3317407	مكلس	Mkalles	place	LB
Q1050731	الأبيار	Abyar	place	LY
Q126308	البياضة	El Bayyada	place	LY
Q136832	الربيانة	Rebiana	place	LY
Q3732722	الصابرية	Es-Sabria	place	LY
Q285287	القطرون	Qatrun	place	LY
Q3791554	الماية	Al Māyah	place	LY
Q427646	المرج	Campament of Al Marj	place	LY
Q36216	النوفلية	Nofaliya	place	LY
Q1196877	براك	Brak	place	LY
Q1642670	ترهونة	Tarhuna	place	LY
Q117712	جادو	Jadu	place	LY
Q171279	رشيدة	Rashida	place	LY
Q3123958	زلطن	Zaltan	place	LY
Q3663184	زويلة	Zwila	place	LY
Q2266662	مزدة	Mizda	place	LY
Q3849569	هراوة	Harawa	place	LY
Q730328	أصيلة	Asilah	place	MA
Q170525	أكادير	Agadir	place	MA
Q2026640	أوسرد	Aousserd	place	MA
Q2826902	أڭلو	Aglou	place	MA
Q3147628	إيش	Ich	place	MA
Q600883	التمسية	Temsia	place	MA
Q219583	الجديدة	El Jadida	place	MA
Q345204	الداخلة	Dakhla	place	MA
Q799042	بادس	Badis	place	MA
Q602426	وزان	Ouazzane	place	MA
Q175414	القرم	Qurum	place	OM
Q3930696	ريسوت	Raysut	place	OM
Q2121330	قدى	Qada	place	OM
Q3298589	الرويس	Ar Ru'ays	place	QA
Q4704387	اَلْمَرْخِيَّة	Al Markhiyah	place	QA
Q3296633	دخان	Dukhan	place	QA
Q935886	لوسيل	Lusail	place	QA
Q4703457	الأكحل	Al Akhal	place	SA
Q4703936	الحضرور	Al Hadrur	place	SA
Q4783045	الرافة	Ar Rafah	place	SA
Q1878991	الرس	Ar Rass	place	SA
Q4783063	الريان	Ar Rayyan	place	SA
Q4116151	الزلفي	Al-Zulfi	place	SA
Q4804441	الشجوة	Ash Shajwah	place	SA
Q4705042	العسيلة	Al `Usaylah	place	SA
Q4705033	العوالي	Al `Awali	place	SA
Q4705043	العيون	Al `Uyun	place	SA
