# Generated from Wikidata (CC0 structured data)
# Columns: qid	scriptWord	romanWord	tag	countryIso2
Q1004048	পাবনা	Pabna	place	BD
Q2193272	মেহেরপুর	Meherpur	place	BD
Q1248027	রাঙ্গামাটি	Rangamati	place	BD
Q589224	অকোট	Akot	place	IN
Q583926	অঙ্কোলা	Ankola	place	IN
Q2088480	অম্বিকাপুর	Ambikapur	place	IN
Q589854	অরঙ্গ	Arang	place	IN
Q590361	অরোভিল	Auroville	place	IN
Q416835	আকবরপুর	Akbarpur	place	IN
Q200049	আজমীর	Ajmer	place	IN
Q519770	আলং	Aalo	place	IN
Q584845	আলান্দুর	Alandur	place	IN
Q585026	আলেপ্পি	Alappuzha	place	IN
Q1025291	উখরুল	Ukhrul	place	IN
Q1949097	উত্তরকাশী	Uttarkashi	place	IN
Q502141	ঋষিকেশ	Rishikesh	place	IN
Q1748687	ওয়াই	Wai	place	IN
Q1772819	ওয়ারধা	Wardha	place	IN
Q2445434	ওয়েনগুরলা	Vengurla	place	IN
Q2019137	কনকপুরা	Kanakapura	place	IN
Q1729385	করিমগঞ্জ	Karimganj	place	IN
Q609848	কাঙ্কের	Kanker	place	IN
Q720152	কাঞ্জিকুলি	Kanjikkuzhi	place	IN
Q653405	কাঞ্জিরোড়	Kanhirode	place	IN
Q2445403	কাটপাড়ি	Katpadi	place	IN
Q2317427	কানধার	Kandhar	place	IN
Q1320976	কানিনা	Kanina khas	place	IN
Q2308523	কাপাসান	Kapasan	place	IN
Q2234399	কায়মোরে	Kymore	place	IN
Q1026888	কালকা	Kalka	place	IN
Q2237173	কিনওয়াত	Kinwat	place	IN
Q2138452	কিরাকাট	Kerakat	place	IN
Q2240649	কিরানিপুরা	Kiranipura	place	IN
Q2238993	কুটিয়ানা	Kutiyana	place	IN
Q2239036	কুদাল	Kudal	place	IN
Q2234522	কুন্নমকুলাম	Kunnamkulam	place	IN
Q591621	কুরুদ	Kurud	place	IN
Q825673	কুশীনগর	Kushinagar	place	IN
Q1020681	কৃষ্ণগিরি	Krishnagiri	place	IN
Q932399	কেলং	Kyelang	place	IN
Q2242845	কোট্টায়ম-মালাবার	Kottayam-Malabar	place	IN
Q1170466	কোদালা	Kodala	place	IN
Q601809	কোন	Kon	place	IN
Q278964	কোন্যর	Coonoor	place	IN
Q2232483	খংমান	Khongman	place	IN
Q2120147	খড়গপুর	Kharagpur	place	IN
Q2120073	খাগা	Khaga	place	IN
Q2120099	খানাউরি	Khanauri	place	IN
Q1740527	খাম্বাত	Khambhat	place	IN
Q2317203	খার্সিয়া	Kharsia	place	IN
Q1655903	গড়শানকের	Garhshanker	place	IN
Q1525301	গন্দরওয়ারা	Gadarwara	place	IN
Q1525333	গন্ধদা	Gadhada	place	IN
Q207098	গাজিয়াবাদ	Ghaziabad	place	IN
Q536870	গারিয়াধর	Gariadhar	place	IN
Q1524976	গিঞ্জি	Gingee	place	IN
Q1707438	গুডিয়াথাম	Gudiyatham	place	IN
Q1707629	গুরুদাসপুর	Gurdaspur	place	IN
Q1656730	গোকুলনগর	Gakulnagar	place	IN
Q1708114	গোধ্রা	Godhra	place	IN
Q1536978	গোন্ডাল	Gondal	place	IN
Q1708175	গোপালসমুদ্রম	Gopalasamudram	place	IN
Q254244	গোবিচেত্তিপালায়াম	Gobichettipalayam	place	IN
Q1706610	গোরহ	Gurh	place	IN
Q886602	চরখারি	Charkhari	place	IN
Q1020740	চাকান	Chakan	place	IN
Q858413	চান্দলা	Chandla	place	IN
Q861884	চাবুয়া	Chabua	place	IN
Q2340109	চাল্লকেরে	Challakere	place	IN
Q1945471	চিকলি	Chikhli	place	IN
Q1104235	চিঞ্চোলি	Chincholi	place	IN
Q1191555	চিতগোপ্পা	Chitgoppa	place	IN
Q886572	চেঙ্গামনাড়	Chengamanad	place	IN
Q1194555	চোমু	Chomu	place	IN
Q1191540	চৌদুয়ার	Choudwar	place	IN
Q1071519	ছত্তরপুর	Chhatarpur	place	IN
Q885359	ছাছরাউলি	Chhachhrauli	place	IN
Q888797	ছাবরা	Chhabra	place	IN
Q888812	ছারছা	Chharchha	place	IN
Q2010464	জগলুর	Jagalur	place	IN
Q33377	জলন্ধর	Jalandhar	place	IN
Q2314365	জাওয়াদ	Jawad	place	IN
Q660529	জাওয়ার	Jawar	place	IN
Q2016803	জালগাঁও	Jalgaon Jamod	place	IN
Q2317411	জিরাকপুর	Zirakpur	place	IN
Q663062	জিরো	Ziro	place	IN
Q2311256	জুগিয়াল	Jugial	place	IN
Q2304016	ঝজ্জর	Jhajjar	place	IN
Q1258336	ডকমোকা	Dokmoka	place	IN
Q1227167	ডিফু	Diphu	place	IN
Q1006270	তওয়াং	Tawang	place	IN
Q41496	তাঞ্জাবুর	Thanjavur	place	IN
Q2248410	তারানা	Tarana	place	IN
Q993332	তারাপুর	Tarapur	place	IN
Q2249428	তিনসুকিয়া	Tinsukia	place	IN
Q207754	তিরুচিরাপল্লী	Tiruchirappalli	place	IN
Q2229506	তিরুচেনগোড়ে	Tiruchengode	place	IN
Q608181	তিরুভারুর	Tiruvallur	place	IN
Q530401	থান্দলা	Thandla	place	IN
Q1792360	থিরুচেন্দুর	Thiruchendur	place	IN
Q1192238	দাতিয়া	Datia	place	IN
Q385237	দাবোহ	Daboh	place	IN
Q1190879	দাব্রা	Dabra	place	IN
Q1190684	দাল্লি-রাজহরা	Dalli Rajhara	place	IN
Q1255806	দেওহাদি	Dewhadi	place	IN
Q1255850	দেবহারা	Devhara	place	IN
Q1255977	ধনসার	Dhaunsar	place	IN
Q684523	ধরচুলা	Dharchula	place	IN
Q617987	ধার	Dhar	place	IN
Q1525537	ধ্যানে	Dyane	place	IN
Q1925183	নগর	Nagar	place	IN
Q2227523	নবাবগঞ্জ	Nawabganj	place	IN
Q1513	নাগপুর	Nagpur	place	IN
Q886590	নান্দেদ-ওয়াঘালা	Nanded-Waghala	place	IN
Q632960	নান্যিলাম	Nannilam	place	IN
Q938857	নারখেদ	Narkhed	place	IN
Q545770	নিরমালী	Nirmali	place	IN
Q629396	নুহ	Nuh	place	IN
Q1122578	পাচগাঁও	Pachgaon	place	IN
Q80484	পাটনা	Patna	place	IN
Q1768640	পানারা	Panara	place	IN
Q593695	পান্না	Panna	place	IN
Q2086217	পালওয়াল	Palwal	place	IN
Q949907	পালানপুর	Palanpur	place	IN
Q745401	পিথোরা	Pithora	place	IN
Q921719	পুডুকোট্টাই	Pudukkottai	place	IN
Q1525228	ফতেহনগর	Fatehnagar	place	IN
Q1320989	ফতেহাবাদ	Fatehabad	place	IN
Q338696	ফাগুওয়ারা	Phagwara	place	IN
Q2296037	ফুলবাণী	Phulbani	place	IN
Q858219	বড়সাদ	Borsad	place	IN
Q612328	বলরামপুর	Balrampur	place	IN
Q637106	বাঁশদি	Bansdih	place	IN
Q638714	বাকানি	Bakani	place	IN
Q632773	বানাপুর	Banapur	place	IN
Q760257	বায়ানা	Bayana	place	IN
Q79980	বারাণসী	Varanasi	place	IN
Q622840	বালিমেলা	Balimela	place	IN
Q641098	বালেশ্বর	Balasore	place	IN
Q797126	বিজনী	Bijni	place	IN
Q796664	বিজনোর	Bijnor	place	IN
Q428872	বিয়েত	Biate	place	IN
Q757844	বিলোনীয়া	Belonia	place	IN
Q861330	বিলোলি	Biloli	place	IN
Q861405	বীরগাঁও	Birgaon	place	IN
Q858315	বীরপুর	Birpur	place	IN
Q798839	বুদাউন	Budaun	place	IN
Q862083	বুধগাঁও	Budhgaon	place	IN
Q760347	বেহেরা	Behea	place	IN
Q662285	ভারতথানা	Bharthana	place	IN
