# Generated from Wikidata (CC0 structured data)
# Columns: qid	scriptWord	romanWord	tag	countryIso2
Q10729062	א-סוואנה	As-Sawwana	place	IL
Q246995	א-סייד	Al-Sayyid	place	IL
Q2920013	אודים	Udim	place	IL
Q2915832	אוהד	Ohad	place	IL
Q167632	אופקים	Ofakim	place	IL
Q2458216	אחווה	Ahva	place	IL
Q2890231	אחיהוד	Ahihud	place	IL
Q11904486	איילון	Aijalon	place	IL
Q2916589	אילניה	Ilaniya	place	IL
Q2776804	איתן	Eitan	place	IL
Q2778092	איתנים	Eitanim	place	IL
Q4702469	אל-חרם	Al-Haram, Jaffa	place	IL
Q2777576	אליפלט	Elifelet	place	IL
Q2889400	אלישיב	Elyashiv	place	IL
Q49127307	אלעשה	Elasa	place	IL
Q743064	אלקוש	Elkosh	place	IL
Q548627	אמציה	Amatzia	place	IL
Q2889205	ארבל	Arbel	place	IL
Q2890227	ארסוף	Arsuf	place	IL
Q656253	אשלים	Ashalim	place	IL
Q152593	באקה-ג'ת	Baqa-Jatt	place	IL
Q2888719	בארותיים	Be'erotayim	place	IL
Q2915523	בוקעאתא	Buq'ata	place	IL
Q2916645	בורגתא	Burgata	place	IL
Q2776820	ביריה	Birya	place	IL
Q2889721	בניה	Bnaya	place	IL
Q2916680	בצרה	Batzra	place	IL
Q7188448	בריקה	Bariqa	place	IL
Q2777135	ברק	Barak	place	IL
Q2612745	ברקת	Bareket	place	IL
Q613180	ג'דיידה-מכר	Jadeidi-Makr	place	IL
Q2888538	גאולים	Geulim	place	IL
Q2009152	גבעתי	Giv'ati	place	IL
Q2777464	גבתון	Gibton	place	IL
Q921505	גדרה	Gedera	place	IL
Q2777420	גורן	Goren	place	IL
Q2613825	גמזו	Gimzo	place	IL
Q2920048	גפן	Gefen	place	IL
Q6520876	ד'הרה	Hujairat	place	IL
Q2776986	דבורה	Dvora	place	IL
Q152396	דימונה	Dimona	place	IL
Q2888945	דישון	Dishon	place	IL
Q2777988	הודיה	Hodaya	place	IL
Q2891272	היוגב	HaYogev	place	IL
Q2777341	זבדיאל	Zavdiel	place	IL
Q187252	זכריה	Zekharia	place	IL
Q2920220	זמר	Zemer	place	IL
Q2920129	זנוח	Zanoah	place	IL
Q2889441	זרועה	Zru'a	place	IL
Q2658228	זרזיר	Zarzir	place	IL
Q2776781	ח'וואלד	Khawaled	place	IL
Q471886	חדרה	Hadera	place	IL
Q192213	חולון	Holon	place	IL
Q2910370	חוסנייה	Hussniyya	place	IL
Q2655024	חורפיש	Hurfeish	place	IL
Q2778360	חלץ	Heletz	place	IL
Q734966	חמ״ד	Hemed	place	IL
Q301427	חצב	Hatzav	place	IL
Q747107	חצבה	Hatzeva	place	IL
Q2891177	חריש	Harish	place	IL
Q2890766	חרשים	Harashim	place	IL
Q2915766	טורעאן	Tur'an	place	IL
Q2916840	טייבה	Taibe	place	IL
Q2890123	טל-אל	Tal El	place	IL
Q2612754	טלמון	Talmon	place	IL
Q168176	טמרה	Tamra	place	IL
Q1676894	יבנאל	Yavne'el	place	IL
Q2919377	ידידה	Yedida	place	IL
Q1000887	יהוד	Yehud	place	IL
Q1948533	יהוד-מונוסון	Yehud-Monosson	place	IL
Q2889257	יהל	Yahel	place	IL
Q2890790	יובל	Yuval	place	IL
Q2777352	יושיביה	Yoshivia	place	IL
Q2888897	יכיני	Yakhini	place	IL
Q2113253	ינון	Yinon	place	IL
Q2776997	יסעור	Yas'ur	place	IL
Q2920202	יעף	Ye'af	place	IL
Q2777942	יערה	Ya'ara	place	IL
Q2889577	יציץ	Yatzitz	place	IL
Q1687708	ירוחם	Yeruham	place	IL
Q2920086	ירקונה	Yarkona	place	IL
Q2889656	ישע	Yesha	place	IL
Q2889627	יתד	Yated	place	IL
Q1018884	כאבול	Kabul	place	IL
Q4702652	כאברי	Al-Kabri	place	IL
Q2777105	כלנית	Kalanit	place	IL
Q2246327	כנות	Kannot	place	IL
Q2652222	כסייפה	Kuseife	place	IL
Q2915770	כעביה-טבאש-חג'אג'רה	Ka'abiyye-Tabbash-Hajajre	place	IL
Q123685287	כרכור	Karkur	place	IL
Q152418	כרמיאל	Karmiel	place	IL
Q1589806	להבים	Lehavim	place	IL
Q207540	לוד	Lod	place	IL
Q2509463	לפיד	Lapid	place	IL
Q2777727	לפידות	Lapidot	place	IL
Q925908	לקיה	Lakiya	place	IL
Q2889647	מבטחים	Mivtahim	place	IL
Q2777930	מבקיעים	Mavki'im	place	IL
Q1444388	מג'דל	Al-Majdal	place	IL
Q2918393	מגדים	Megadim	place	IL
Q4880851	מגדלא	Magdala	place	IL
Q2920119	מגשימים	Magshimim	place	IL
Q165867	מודיעין‏־מכבים־רעות	Modi'in-Maccabim-Re'ut	place	IL
Q2777077	מורג	Morag	place	IL
Q2920034	מישר	Meishar	place	IL
Q2915238	ממילא	Mamilla	place	IL
Q2890618	מנוף	Manof	place	IL
Q113652243	מעלות	Ma'alot	place	IL
Q137383753	מרווה	Marwa	place	IL
Q2920449	משמרת	Mishmeret	place	IL
Q2918645	מתן	Matan	place	IL
Q659971	מתת	Mattat	place	IL
Q11991625	נוב	Nob	place	IL
Q2778119	נחלה	Nahala	place	IL
Q2614192	נחלים	Nehalim	place	IL
Q934904	נין	Nein	place	IL
Q430776	נצרת	Nazareth	place	IL
Q167649	נתיבות	Netivot	place	IL
Q192225	נתניה	Netanya	place	IL
Q2778083	סגולה	Sgula	place	IL
Q2777713	סולם	Sulam	place	IL
Q168330	סח'נין	Sakhnin	place	IL
Q685392	סמדר	Smadar	place	IL
Q2889421	סעד	Sa'ad	place	IL
Q2859313	עארה	'Ara	place	IL
Q936290	עדנים	Adanim Youth Village	place	IL
Q113119030	עוג׳אן	Ojan	place	IL
Q2776328	עוזה	Uza	place	IL
Q2777769	עופר	Ofer	place	IL
Q2889057	עוצם	Otzem	place	IL
Q2889580	עזוז	Ezuz	place	IL
Q2920475	עזריאל	Azri'el	place	IL
Q2627229	עזריקם	Azrikam	place	IL
Q2889032	עידן	Idan	place	IL
Q2916727	עיינות	Ayanot	place	IL
Q2915756	עילוט	Ilut	place	IL
Q2915013	עינן	Ain Mallaha	place	IL
Q2777800	עכברה	'Akbara	place	IL
Q126084	עכו	Acre	place	IL
Q2843398	עמינדב	Aminadav	place	IL
Q2910412	עמיעד	Ami'ad	place	IL
Q471949	עמיר	Amir	place	IL
Q2914984	עמקה	Amka	place	IL
Q152462	עפולה	Afula	place	IL
Q2920046	עשרת	Aseret	place	IL
Q2889047	פדויים	Peduim	place	IL
Q2776285	פורת	Porat	place	IL
Q2915001	פקיעין	Peki'in	place	IL
Q2777361	פרוד	Parod	place	IL
Q135451393	פרשים	El Nave	place	IL
Q2904366	פת	Pat	place	IL
Q2889097	צופר	Tzofar	place	IL
Q2916563	צוקים	Tzukim	place	IL
Q1132798	ציפורי	Sepphoris	place	IL
Q2919894	צפריה	Tzafria	place	IL
Q188336	צפת	Safed	place	IL
Q2670398	קדימה-צורן	Tzoran-Kadima	place	IL
Q2916625	קוממיות	Komemiyut	place	IL
Q2889888	קורנית	Koranit	place	IL
Q6383568	קידה	Keida	place	IL
Q1615560	קיסריה	Caesarea	place	IL
Q319242	קיסריה	Caesarea Maritima	place	IL
Q2889820	קלחים	Klahim	place	IL
Q135479406	קנז	Afeka	place	IL
Q2903488	קריות	Kerioth	place	IL
Q7282411	ראפאת	Rafat	place	IL
Q2890435	רגבה	Regba	place	IL
Q934250	רגבים	Regavim	place	IL
Q2776775	רווחה	Revaha	place	IL
