# Generated from Wikidata (CC0 structured data)
# Columns: qid	scriptWord	romanWord	tag	countryIso2
Q583926	अंकोला	Ankola	place	IN
Q416835	अकबरपुर	Akbarpur	place	IN
Q589224	अकोट	Akot	place	IN
Q200049	अजमेर	Ajmer	place	IN
Q1949069	अजीतगढ़	Mohali	place	IN
Q582646	अझुवा	Ajhuwa	place	IN
Q585869	अतर्रा	Atarra	place	IN
Q490609	अदरी	Adari	place	IN
Q490916	अब्राम	Abrama	place	IN
Q581657	अमरौधा	Amraudha	place	IN
Q580988	अमेठी	Amethi	place	IN
Q2088480	अम्बिकापुर	Ambikapur	place	IN
Q584327	अरुप्पुकोट्टै	Aruppukkottai	place	IN
Q582312	अलंगानल्लूर	Alanganallur	place	IN
Q519770	अलोंग	Aalo	place	IN
Q589789	अल्लाहगंज	Allahganj	place	IN
Q589854	आरंग	Arang	place	IN
Q589185	आर्कोट	Arcot	place	IN
Q582554	आलवारकुरिची	Alwarkurichi	place	IN
Q1025291	उखरुल	Ukhrul	place	IN
Q1949097	उत्तरकाशी	Uttarkashi	place	IN
Q502141	ऋषिकेश	Rishikesh	place	IN
Q1525594	एतापूर	Ethapur	place	IN
Q590361	ओरोविल	Auroville	place	IN
Q582879	औरास	Auras	place	IN
Q2019137	कनकपुरा	Kanakapura	place	IN
Q1729385	करीमगंज	Karimganj	place	IN
Q1748620	काँट	Kant	place	IN
Q920823	कांगेयनल्लूर	Kangeyanallur	place	IN
Q721261	कांतबम्सुगूडा	Kantabamsuguda	place	IN
Q520995	कांद्री	Kandri	place	IN
Q603704	कायलपट्टनम	Kayalpattinam	place	IN
Q1026888	कालका	Kalka	place	IN
Q1190690	कुडचडे	Curchorem	place	IN
Q278964	कुन्नूर	Coonoor	place	IN
Q591621	कुरुद	Kurud	place	IN
Q825673	कुशीनगर	Kushinagar	place	IN
Q1020681	कृष्णगिरि	Krishnagiri	place	IN
Q932399	केलांग	Kyelang	place	IN
Q1924838	कोटर	Kotar	place	IN
Q1170466	कोदला	Kodala	place	IN
Q727731	कोलचेल	Colachel	place	IN
Q572282	कौड़ियागंज	Kauriaganj	place	IN
Q1740527	खंभात	Khambhat	place	IN
Q2120099	खनौरी	Khanauri	place	IN
Q2120147	खरगपुर	Kharagpur	place	IN
Q2120241	खरगूपुर	Khargupur	place	IN
Q2120338	खरसावाँ	Kharsawan	place	IN
Q2120073	खागा	Khaga	place	IN
Q1656451	गंगैकोण्डान	Gangaikondan	place	IN
Q1656730	गकुलनगर	Gakulnagar	place	IN
Q1525333	गढड़ा	Gadhada	place	IN
Q1655903	गढ़शंकर	Garhshanker	place	IN
Q207098	गाज़ियाबाद	Ghaziabad	place	IN
Q1525301	गाडरवारा	Gadarwara	place	IN
Q536870	गारीयाधार	Gariadhar	place	IN
Q1707438	गुडियाट्टम	Gudiyatham	place	IN
Q1706610	गुढ़	Gurh	place	IN
Q1707629	गुरदासपुर	Gurdaspur	place	IN
Q1536978	गोंडल	Gondal	place	IN
Q1708114	गोधरा	Godhra	place	IN
Q1708175	गोपालसमुद्रम	Gopalasamudram	place	IN
Q254244	गोबीचेट्टीपालयम	Gobichettipalayam	place	IN
Q279871	गौरीपुर	Gauripur	place	IN
Q1707463	घोघा	Ghogha	place	IN
Q858672	चन्दौसी	Chandausi	place	IN
Q861884	चबुआ	Chabua	place	IN
Q886602	चरखारी	Charkhari	place	IN
Q1020740	चाकण	Chakan	place	IN
Q886561	चास	Chas	place	IN
Q1104235	चिंचोली	Chincholi	place	IN
Q1945471	चिखली	Chikhli	place	IN
Q1191555	चिटगुप्पा	Chitgoppa	place	IN
Q888377	चेन्निमलई	Chennimalai	place	IN
Q1194555	चोमू	Chomu	place	IN
Q1191540	चौद्वार	Choudwar	place	IN
Q885359	छछरौली	Chhachhrauli	place	IN
Q1071519	छतरपुर	Chhatarpur	place	IN
Q888797	छबड़ा	Chhabra	place	IN
Q888812	छरछा	Chharchha	place	IN
Q888934	छेनानी	Chenani	place	IN
Q2010464	जगलूर	Jagalur	place	IN
Q33377	जलंधर	Jalandhar	place	IN
Q2013180	जलालपोर	Jalalpore	place	IN
Q663062	ज़िरो	Ziro	place	IN
Q2008623	जाजपुर	Jajpur	place	IN
Q1524976	जेंजि	Gingee	place	IN
Q936176	जोरापोखर	Jorapokhar	place	IN
Q1190879	डबरा	Dabra	place	IN
Q1258336	डोकमोका	Dokmoka	place	IN
Q41496	तंजावुर	Thanjavur	place	IN
Q1006270	तवांग	Tawang	place	IN
Q993332	तारापुर	Tarapur	place	IN
Q207754	तिरुचिरापल्ली	Tiruchirappalli	place	IN
Q1792360	तिरुचेंदूर	Thiruchendur	place	IN
Q1109865	तिरुपत्तुर	Tiruppattur	place	IN
Q608181	तिरुवल्लुर	Tiruvallur	place	IN
Q593523	तुवाकुडी	Thuvakudi	place	IN
Q530401	थांदला	Thandla	place	IN
Q1192238	दतिया	Datia	place	IN
Q385237	दबोह	Daboh	place	IN
Q1227167	दीफू	Diphu	place	IN
Q1260500	देवरशोला	Devarshola	place	IN
Q1255850	देवहरा	Devhara	place	IN
Q1190900	दौराला	Daurala	place	IN
Q1525537	द्याने	Dyane	place	IN
Q1524687	द्वाराहाट	Dwarahat	place	IN
Q1265783	धनौहा	Dhanauha	place	IN
Q617987	धार	Dhar	place	IN
Q1258440	धौरहरा	Dhaurehra	place	IN
Q1925183	नगर	Nagar	place	IN
Q632960	नन्निलम	Nannilam	place	IN
Q938857	नरखेड़	Narkhed	place	IN
Q1513	नागपुर	Nagpur	place	IN
Q545770	निर्मली	Nirmali	place	IN
Q629396	नूँह	Nuh	place	IN
Q80484	पटना	Patna	place	IN
Q1768640	पनारा	Panara	place	IN
Q2086217	पलवल	Palwal	place	IN
Q1122578	पाचगाँव	Pachgaon	place	IN
Q949907	पालनपुर	Palanpur	place	IN
Q745401	पिथोरा	Pithora	place	IN
Q921719	पुदुकोट्टई	Pudukkottai	place	IN
Q429484	प्रतापगढ़	Pratapgarh	place	IN
Q338696	फगवाड़ा	Phagwara	place	IN
Q1320989	फतेहाबाद	Fatehabad	place	IN
Q638714	बकानी	Bakani	place	IN
Q622609	बकेवर	Bakewar	place	IN
Q590758	बड़नगर	Badnagar	place	IN
Q83398	बड़ोग	Barog	place	IN
Q708505	बड़ौत	Baraut	place	IN
Q707799	बढ़नी	Barhani Bazar	place	IN
Q798839	बदायूँ	Budaun	place	IN
Q760257	बयाना	Bayana	place	IN
Q612328	बलरामपुर	Balrampur	place	IN
Q607333	बाँगरमऊ	Bangarmau	place	IN
Q625718	बांटवा	Bantva	place	IN
Q637106	बांदिह्	Bansdih	place	IN
Q637878	बाजपुर	Bajpur	place	IN
Q632773	बाणपुर,ओड़िशा	Banapur	place	IN
Q622840	बालिमेला	Balimela	place	IN
Q641098	बालेश्वर	Balasore	place	IN
Q428872	बिआते	Biate	place	IN
Q797126	बिजनी	Bijni	place	IN
Q796664	बिजनौर	Bijnor	place	IN
Q860452	बिलासपुर	Bilaspur	place	IN
Q862141	बिलिमोरा	Bilimora	place	IN
Q861330	बिलोली	Biloli	place	IN
Q760347	बिहिया	Behea	place	IN
Q858315	बीरपुर	Birpur	place	IN
Q862083	बुधगाँव	Budhgaon	place	IN
Q757844	बेलोनिया	Belonia	place	IN
Q858219	बोरसद	Borsad	place	IN
Q662285	भरथना	Bharthana	place	IN
Q796805	भितरवार	Bhitarwar	place	IN
Q1320215	मंचर	Manchar	place	IN
Q1710558	मंडावा	Mandawa	place	IN
Q195931	मंडी	Mandi	place	IN
Q956893	मलप्पुरम	Malappuram	place	IN
Q720211	माणसा	Mansa	place	IN
Q463526	माथेरान	Matheran	place	IN
Q780995	मायाबंदर	Mayabunder	place	IN
Q1514203	मुधोल	Mudhol	place	IN
Q1929592	मेघाहाटुबुरू	Meghahatuburu	place	IN
Q2087713	मोरबी	Morbi	place	IN
Q652376	रतलाम	Ratlam	place	IN
Q2037248	राधाकुंड	Radha Kund	place	IN
Q372773	रायपुर	Raipur	place	IN
Q93230	रावलपिंडी	Rawalpindi	place	IN
Q1453180	रोहतक	Rohtak	place	IN
Q1749831	लालगंज	Lalganj, Uttar Pradesh	place	IN
Q1772819	वर्धा	Wardha	place	IN
Q79980	वाराणसी	Varanasi	place	IN
Q937745	विरुधुनगर	Virudhunagar	place	IN
Q1749236	वेलिंग्टन	Wellington	place	IN
Q2078241	शाहजहाँपुर	Shahjahanpur	place	IN
Q1748735	शाहाबाद	Shahabad	place	IN
Q1278427	शियाली	Sirkazhi	place	IN
Q427918	शे	Shey	place	IN
Q720816	संतरामपुर	Santrampur	place	IN
Q876483	संबलपुर	Sambalpur	place	IN
Q242895	सहारनपुर	Saharanpur	place	IN
Q1925370	साँभर	Sambhar	place	IN
Q1442545	सेनापति	Senapati	place	IN
Q1707590	हंडिया	Handia	place	IN
Q1709062	हज़ीरा	Hazira	place	IN
Q1707052	हरदुआगंज	Harduaganj	place	IN
Q1709670	हरपालपुर	Harpalpur	place	IN
Q1706431	हर्रई	Harrai	place	IN
Q1707007	हलवद	Halvad	place	IN
Q582754	हसायन	Hasayan	place	IN
Q47264	हासन	Hassan	place	IN
Q1755404	हुक्केरी	Hukeri	place	IN
Q1755397	हुनसूर	Hunsur	place	IN
Q1708205	हुमनाबाद	Humnabad	place	IN
Q976908	हुसैनाबाद	Hussainabad	place	IN
Q1709688	हेलीमंडी	Haileymandi	place	IN
Q1122103	होललकेरे	Holalkere	place	IN
Q1708186	होसकोटे	Hoskote	place	IN
Q297967	होसूर	Hosur	place	IN
